문서id,발행일,담당부서,제목,앞두문장,자동제안,강도,자동근거,확정분류(사람이 채움),비고
fsc-70655,2013-04-08,금융위원회 전자금융과,[보도참고] ‘국민행복기금’을 빙자한 보이스피싱 주의!,1. 개요 / □ 최근 금융회사를 사칭 한 후 ‘국민행복기금’을 미끼 로 대출 (대출 상담) 을 유도 하는 휴대폰 문자메시지 (SMS) 가 확산되고 있어 금융소비자의 각별한 주의가 요망,B,B강,"수법어(사칭,빙자,유도) + 경보어(주의,유의)",,
fsc-71012,2014-01-24,전자금융과,[보도참고]카드사 사칭 스미싱 관련 정부합동 주의경보 발령,Ⅰ / 개 요,B,B강,"수법어(사칭) + 경보어(주의,경보)",,
fsc-73846,2019-09-04,전자금융과,"[보도참고] 추석 택배, 소액결제 등을 사칭한 스미싱 피해 주의! - 이통3사와 협업하여 스미싱 피해예방을 위한 문자메시지 발송 -","□ 방송통신위원회 ( 위원장 이효성 ), 과학기술정보통신부 ( 장관 유영민 ), 금융위원회 ( 위원장 최종구 ), 금융감독원 ( 원장 윤석헌 ), 경찰청 ( 청장 민갑룡 ) 은 추석 연휴를 앞두고 택배 배송 확인, 소액 결제 문자 등을 사칭한 스미싱*이 증가할 것으로 ",B,B강,"수법어(사칭,명목으로,유도) + 경보어(주의,경보)",,
fsc-74037,2019-12-17,전자금융과,"[보도참고] 해외송금대행을 가장한 보이스피싱에 주의하세요! 의심하고, 전화끊고, 확인하고!","- 이동통신 전체가입자 대상 피해예방을 위한 문자메시지 발송 - / 방송통신위원회(위원장 한상혁), 금융위원회(위원장 은성수), 금융감독원(원장 윤석헌), 경찰청(청장 민갑룡)은 최근 해외송금대행 부업 등을 가장한 보이스피싱 피해 가 증가함에 따라, 이용자들의 주의 를",B,B강,"수법어(사칭,가장한,명목으로) + 경보어(주의,수법)",,
fsc-77296,2022-01-20,전자금융과,"[부처합동] 설 명절 택배 배송, 정부 지원금 등을 사칭한 문자결제사기(스미싱)·사기전화(보이스피싱) 주의보 발령!!","설 명절 택배 배송 , 정부 지원금 등을 사칭한 / 문자결제사기 ( 스미싱 )· 사기전화 ( 보이스피싱 ) 주의보 발령 !!",B,B강,"수법어(사칭,빙자,유도) + 경보어(주의,경보)",,
fsc-81462,2024-01-12,금융안전과,[보도참고] 정부부처·유관기관 직원을 사칭한 스미싱 소비자 경보 발령!!!,▣ 소비자경보 2024 - 2호 / 등급,B,B강,"수법어(사칭,빙자,유도) + 경보어(주의,경보)",,
fsc-84947,2025-07-17,금융안전과,[보도자료] 민생회복 소비쿠폰 신청 문자에는 인터넷주소(URL)가 없습니다. 절대 클릭하지 마세요. - 민생회복 소비쿠폰 조회·신청 사칭 스미싱 소비자경보 발령,민생회복 소비쿠폰 신청 문자에는 인터넷주소 (URL) 가 없습니다. / 절대 클릭하지 마세요 .,B,B강,"수법어(사칭,명목으로,유도) + 경보어(주의,경보)",,
fsc-85338,2025-09-22,금융안전과,2차 소비쿠폰 신청 문자에는 URL이 없습니다. 절대 클릭하지 마세요 - 소비쿠폰 조회·신청 사칭 스미싱 소비자경보 상향(주의→경고),2차 소비쿠폰 신청 문자에는 URL이 없습니다. / 절대 클릭하지 마세요,B,B강,"수법어(사칭,명목으로,유도) + 경보어(주의,경보)",,
fsc-85418,2025-09-30,금융안전과,정부 행정정보시스템 장애와 관련한 금융회사 사칭 스미싱을 주의하세요!,정부 행정정보시스템 장애 와 관련한 / 금융회사 사칭 스미싱 을 주의하세요!,B,B강,"수법어(사칭,명목으로,요구하) + 경보어(주의,경보)",,
fsc-68223,2007-01-23,총괄조정국 복합금융감독실,피싱에 의한 금융사고 주의보 발령,"□ 금융감독원은 지난 1. 19일 특정사이트에 접속한 개인 PC를 해킹하여 다수의 공인인증서를 절취하고, 국내 금융기관 인터넷 뱅킹홈페이지를 모방한 피싱 사이트를 통하여 약 30여명의 금융거래 비밀번호도 절취한 사고가 발생됨에 따라 금융 이용자들에게 피해가 발생되지 않",B,B중,"수법어(유도,요구하) + 경보어(주의,유의)",,
